Player,Rank,Grade,Analysis
Jeremiyah Love,1,7,Love is a well-rounded and explosively athletic running back with a solid build true game-breaking threat every time he touches the ball and the skill set to play every down who figures to make an immediate impact at the next level.
David Bailey,2,6.9,Bailey has an explosive first step a polished pass rush repertoire and a habit of making big plays that will make him an immediate three-down starter with few limitations early on and All-Pro potential in his future.
Caleb Downs,3,6.9,Downs is a decorated college safety who displays exceptional instincts leadership and physicality while having the versatility to be a difference maker against both the run and pass at the next level.
Arvell Reese,4,6.8,Reese is a highly explosive and athletic front-7 defender who projects to be a full-time edge at the next level with his explosiveness range and physical play temperament.
Francis Mauigoa,5,6.8,With a bruising hand punch stout blocking ability and sheer size and strength Mauigoa figures to be a mauling right tackle with a high ceiling right away at the next level with All-Pro upside if he continues to develop and improve his minor inconsistencies.
Rueben Bain Jr,6,6.8,Bain is built to be a modern NFL defensive lineman as he can line up anywhere impact the run game on a regular basis collapse the pocket with power and he still has enough burst balance and bend to line up outside and win on clear passing downs.
Sonny Styles,7,6.8,Styles is a steadily improving off-ball linebacker with exceptional athleticism coverage skills and toughness against the run who still has loads of potential to reach as he moves to the NFL.
Mansoor Delane,8,6.8,Delane is a scheme-versatile corner who has the reactive athleticism ball skills and fluid hip mobility to be a starting corner on Day 1 of his NFL career.
Jordyn Tyson,9,6.8,Tyson is an NFL-ready receiver whose clutch ability and contested catch prowess should give him ample opportunity to earn his quarterback’s trust early in his NFL career.
Carnell Tate,10,6.7,Tate is a smooth and savvy receiver whose strong secure hands make for a QB-friendly target that will see plenty of playing time but his lack of functional strength against press and top-end speed and elusiveness will limit his ceiling at the next level.
Kadyn Proctor,11,6.7,Proctor has the ideal size and athleticism combination that teams drool over and despite a few concerns as a pass protector his dominance as a run blocker makes him too tantalizing to last long in the draft.
Peter Woods,12,6.7,Woods has a fantastic blend of raw power and explosiveness and his ability to defend the run at a high level creates a high floor on the interior but needs to round out his game and provide more production over potential as a pass rusher.
